Adelajda	Adela, Ada	Adelaide
Adriana	Ada, Adusia	Adriana
Adrianna	Ada, Adusia	Adrienne
Agata	Aga, Agatka, Ata, Agusia	Agatha
Agnieszka	Aga, Jagna, Jagienka, Agusia	Agnes
Aleksandra	Ola, Olka, Ala	Alexandra, Alexis
Aleksja	Ala, Ola	Alexia
Alicja	Ala	Alice, Alicia
Alina	Alinka, Ala	Alina
Amanda	Amandzia	Amanda, Mandy
Amelia	Amelka, Amelcia	Amelie
Anastazja	Nastka	Anastasia, Stacy
Andrea	Andzia, Rea	Andrea
Andrzeja	Andzia	Andrea
Aneta	Anetka	Annette
Angela	Angelka	Angela
Angelika	Angela, Andzia	Angelica
Angelina	Angelinka	Angelina
Aniela	Anielka	Angela
Anita	Anitka, Anicia	Anita
Anna	Ania, Anka, Andzia, Anusia, Aneczka	Ann, Anne, Anna
Antonina	Antosia, Tosia	Antoinette
Apolonia	Pola	 
Arleta	Arletka	Arletta
Aurelia	Aurela, Rela, Relka	Aurelia
Balbina	Balbinka	Balbina
Barbara	Basia, Barbarka, Baśka	Barbara
Beata	Beatka	Beata
Berenika	Berenisia, Nika	Berenice
Bogna	Bodzia, Bogusia	 
Bogumiła	Bogusia, Miłka	 
Bogusława	Bogusia, Boguśka, Gusia	 
Bożena	Bożenka	 
Brygida	Brygidka	Bridget
Cecylia	Cecylka, Cyla, Cesia	Cicely, Cilly
Celina	Celinka, Cesia, Ceśka	Celine
Czesława	Czesia, Cześka	 
Dagmara	Daga, Dagusia	Dagmar
Daniela	Dana	Daniela
Danuta	Danka, Danusia	Dana, Donata
Daria	Darka, Darusia, Darunia, Dana	Daria
Deksteryn	Deks, Dyksy	Dexterine
Dominika	Dominisia, Dominiczka, Domi, Domisia, Nika, Doma	Dominique
Donata	Dona, Donka	Donata
Dorota	Dorotka, Dorocia	Dorothy
Dżesika	Dżesi	Jessica
Edyta	Edytka, Edzia	Edith
Eleonora	Ela, Norka	Eleanor
Eliza	Elizka	Eliza, Elise
Elżbieta	Ela, Elka, Elżbietka, Elżunia, Elza	Elizabeth, Elisabeth
Emilia	Emilka, Emi	Emily
Eugenia	Genia, Gienia	Eugenia
Ewa	Ewka, Ewcia, Ewunia	Eve
Ewelina	Ewelinka, Ewka, Ewcia, Ewunia	Evelyn
Fabiola	Fabiolka, Fabia	Fabienne
Faustyna	Faustynka	Faustina
Franciszka	Frania	Frances, Francine
Gabriela	Gabrysia, Gaba, Gabusia, Gabcia, Gabi	Gabriella, Gabrielle
Genowefa	Genia, Genka	Genevieve, Genoveva
Grażyna	Grażynka, Graża, Grażka	Grace
Halina	Halinka, Hala	Helen
Hanna	Hania, Hanka, Hanusia, Haniusia, Haneczka	Hannah
